Id,repo,issue_id,title,body,user,state,comments,created_at,closed_at,assignee,labels,milestone,PR,type
9740,request/request,1,Fix for basic auth vs. url escaped passwords.,Failure case is something like user:p@ssword: node s url.parse expects this to be escaped in the URL string   user:p 40ssword   but they must be unescaped before base64 encoding for basic auth.  testing @mikeal ,notmatt,closed,0,2011-01-29 19:48:01,2011-01-29 19:49:24,,,,1,1
9739,request/request,2,Untitled,Failure case is for something like user:p@ssword: node s url.parse expects the credentials to be escaped in the URL string   user:p 40ssword   but they must be unescaped before base64 encoding for basic auth.   PS: sorry about the muffed request just now  ,notmatt,closed,1,2011-01-29 19:54:50,2011-02-05 23:44:21,,,,1,1
9738,request/request,3,JSON body,Hi  For easier POST and PUT request with body I automatically stringify objects to JSON and add application/json content type.  Stan ,Stanley,closed,6,2011-01-29 20:31:58,2011-01-30 20:41:39,,,,1,1
9737,request/request,4,node.js 0.3.7 support in npm,All tests are passing in node 0.3.7  any chance we can get the node dependency bumped up to 0.3.7? ,mnutt,closed,1,2011-02-03 19:47:02,2011-02-05 23:43:59,,,,0,1
9736,request/request,5,Does not set Host header,I think the right balance between  just works  and  low level  here would be to set the Host header prior to the request based on the URI  if a Host header is not provided in the options.  This will be the cause of repeated developer gotchas because so many sites require the Host header to function.  Thanks  ,jdub,closed,2,2011-02-04 07:50:05,2011-02-04 09:22:00,,,,0,1
9735,request/request,6,https errors,Got some  hang up  or  parser error  when trying to make a request on a https website.  Note: tested with node v0.3.7 ,franck34,closed,3,2011-02-06 11:59:09,2011-02-12 05:58:57,,,,0,1
9734,request/request,7,Better documentation for responseBodyStream,This is documented in the explanation of the responseBodyStream option  but I think is better illustrated in an example. I would have submitted a pull request  but a gist seemed easier:  https://gist.github.com/813983 ,indexzero,closed,2,2011-02-07 04:08:24,2011-02-07 07:52:05,,,,0,1
9733,request/request,8,IRC: Error in pipe with file stream and binary encoding,As per chat in IRC:  https://gist.github.com/819483  Mixing encoding and streaming breaks file download.  Test file was 233 777 bytes and worked fine on smaller example  with encoding was  375 510 bytes ,tanepiper,closed,1,2011-02-09 22:41:11,2011-02-11 21:59:24,,,,0,1
9732,request/request,9,IRC: Error in pipe with file stream and binary encoding,As per chat in IRC:  https://gist.github.com/819483  Mixing encoding and streaming breaks file download.  Test file was 233 777 bytes and worked fine on smaller example  with encoding was  375 510 bytes ,tanepiper,closed,1,2011-02-09 22:41:12,2011-02-11 22:03:02,,,,0,1
9731,request/request,10,So what am I doing instead of responseBodyStream?,Sorry the naive question  but I ve got a fair amount of updating to do for 0.4.0 and I m pressed for time. Could you give me a quick example about how to replace responseBodyStream since it s now deprecated?  /me owes you one beer. ,indexzero,closed,4,2011-02-11 13:52:55,2011-02-12 00:47:10,,,,0,1
