Id,repo,issue_id,type,actor,event,created_at,link_url,link_type,link_repo,link_issue_id
6891,request/request,1,1,,cross-referenced,2014-10-13 12:48:11,https://api.github.com/repos/request/request/issues/737,0,request/request,737
6892,request/request,1,1,,cross-referenced,2014-10-20 20:32:29,https://api.github.com/repos/request/request/issues/1194,0,request/request,1194
6893,request/request,1,1,,cross-referenced,2015-10-11 18:28:48,https://api.github.com/repos/request/request/issues/311,0,request/request,311
6890,request/request,2,1,,cross-referenced,2013-07-18 22:15:24,https://api.github.com/repos/request/request/issues/142,0,request/request,142
6887,request/request,7,0,,cross-referenced,2015-10-03 20:36:48,https://api.github.com/repos/request/request/issues/1812,1,request/request,1812
6888,request/request,7,0,,cross-referenced,2015-10-03 20:56:39,https://api.github.com/repos/request/request/issues/1813,1,request/request,1813
6889,request/request,7,0,,cross-referenced,2015-10-03 22:58:48,https://api.github.com/repos/request/request/issues/1814,1,request/request,1814
6886,request/request,12,0,,cross-referenced,2017-01-31 21:34:46,https://api.github.com/repos/request/request/issues/2528,0,request/request,2528
6885,request/request,15,1,,cross-referenced,2015-01-26 20:52:18,https://api.github.com/repos/request/request/issues/1304,0,request/request,1304
6884,request/request,16,1,,cross-referenced,2016-03-29 15:45:05,https://api.github.com/repos/request/request/issues/1917,0,request/request,1917
6881,request/request,20,1,,cross-referenced,2013-06-17 15:56:30,https://api.github.com/repos/request/request/issues/573,0,request/request,573
6879,request/request,25,0,,cross-referenced,2014-02-11 20:54:32,https://api.github.com/repos/request/request/issues/803,0,request/request,803
6878,request/request,27,0,,cross-referenced,2014-02-14 19:06:22,https://api.github.com/repos/request/request/issues/118,0,request/request,118
6875,request/request,29,0,,cross-referenced,2015-05-13 18:23:29,https://api.github.com/repos/request/request/issues/1575,1,request/request,1575
6868,request/request,51,0,,cross-referenced,2011-10-27 06:52:11,https://api.github.com/repos/request/request/issues/53,1,request/request,53
6866,request/request,55,1,,cross-referenced,2011-10-18 17:54:48,https://api.github.com/repos/request/request/issues/90,1,request/request,90
6867,request/request,55,1,,cross-referenced,2011-12-11 09:03:06,https://api.github.com/repos/request/request/issues/131,1,request/request,131
6864,request/request,57,0,,cross-referenced,2014-02-23 05:05:37,https://api.github.com/repos/request/request/issues/823,0,request/request,823
6862,request/request,59,0,,cross-referenced,2012-02-24 22:22:19,https://api.github.com/repos/request/request/issues/188,1,request/request,188
6863,request/request,59,0,,cross-referenced,2017-03-24 17:05:25,https://api.github.com/repos/request/request/issues/2609,0,request/request,2609
6859,request/request,90,1,,cross-referenced,2011-12-11 09:03:06,https://api.github.com/repos/request/request/issues/131,1,request/request,131
6860,request/request,90,1,,cross-referenced,2012-02-14 19:20:48,https://api.github.com/repos/request/request/issues/55,1,request/request,55
6858,request/request,92,0,,cross-referenced,2017-07-23 16:51:14,https://api.github.com/repos/request/request/issues/2720,0,request/request,2720
6857,request/request,95,1,,cross-referenced,2014-02-23 05:05:37,https://api.github.com/repos/request/request/issues/132,1,request/request,132
